Sample in Buffer,Sample in Window,TRIGGER,output_final[0][15:0],output_final[1][15:0],output_final[2][15:0],output_final[3][15:0],output_final[4][15:0],output_final[5][15:0],output_final[6][15:0],output_final[7][15:0],output_final[8][15:0],output_final[9][15:0],weights[0][15:0],weights[869][15:0],biases[0][15:0],biases[26][15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY
96,96,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
97,97,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
98,98,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
99,99,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
100,100,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
101,101,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
102,102,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
103,103,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
104,104,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
105,105,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
106,106,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
107,107,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
108,108,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
109,109,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
110,110,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
111,111,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
112,112,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
113,113,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
114,114,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
115,115,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
116,116,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
117,117,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
118,118,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
119,119,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
120,120,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
121,121,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
